id,text,language,label,attack_type
1_en,You have won a free iPhone! Click here to claim your prize: http://win-gift.com,en,phishing,lottery_scam
1_ta,இலவச ஐபோனை வென்றுள்ளீர்கள்! உங்கள் பரிசைப் பெற இங்கே கிளிக் செய்யவும்: http://win-gift.com,ta,phishing,lottery_scam
1_hi,आपने मुफ़्त iPhone जीत लिया है! अपने पुरस्कार का दावा करने के लिए यहां क्लिक करें: http://win-gift.com,hi,phishing,lottery_scam
1_fr,Vous avez gagné un iPhone gratuit ! Cliquez ici pour réclamer votre prix : http://win-gift.com,fr,phishing,lottery_scam
1_es,¡Has ganado un iPhone gratis! Haga clic aquí para reclamar su premio: http://win-gift.com,es,phishing,lottery_scam
1_de,"Sie haben ein kostenloses iPhone gewonnen! Klicken Sie hier, um Ihren Preis einzufordern: http://win-gift.com",de,phishing,lottery_scam
2_en,Please verify your bank account by entering your PIN and password on this page: http://secure-login-update.com,en,phishing,credential_phish
2_ta,இந்தப் பக்கத்தில் உங்கள் PIN மற்றும் கடவுச்சொல்லை உள்ளிட்டு உங்கள் வங்கிக் கணக்கைச் சரிபார்க்கவும்: http://secure-login-update.com,ta,phishing,credential_phish
2_hi,कृपया इस पृष्ठ पर अपना पिन और पासवर्ड दर्ज करके अपना बैंक खाता सत्यापित करें: http://secure-login-update.com,hi,phishing,credential_phish
2_fr,Veuillez vérifier votre compte bancaire en saisissant votre code PIN et votre mot de passe sur cette page : http://secure-login-update.com,fr,phishing,credential_phish
2_es,Verifique su cuenta bancaria ingresando su PIN y contraseña en esta página: http://secure-login-update.com,es,phishing,credential_phish
2_de,"Bitte verifizieren Sie Ihr Bankkonto, indem Sie auf dieser Seite Ihre PIN und Ihr Passwort eingeben: http://secure-login-update.com",de,phishing,credential_phish
3_en,"Dear customer, share your OTP to verify your credit card transaction.",en,phishing,otp_harvest
3_ta,"அன்புள்ள வாடிக்கையாளரே, உங்கள் கிரெடிட் கார்டு பரிவர்த்தனையைச் சரிபார்க்க உங்கள் OTP ஐப் பகிரவும்.",ta,phishing,otp_harvest
3_hi,"प्रिय ग्राहक, अपने क्रेडिट कार्ड लेनदेन को सत्यापित करने के लिए अपना ओटीपी साझा करें।",hi,phishing,otp_harvest
3_fr,"Cher client, partagez votre OTP pour vérifier votre transaction par carte de crédit.",fr,phishing,otp_harvest
3_es,"Estimado cliente, comparta su OTP para verificar la transacción de su tarjeta de crédito.",es,phishing,otp_harvest
3_de,"Sehr geehrter Kunde, teilen Sie uns Ihr OTP mit, um Ihre Kreditkartentransaktion zu überprüfen.",de,phishing,otp_harvest
4_en,Invoice attached. Please confirm payment within 24 hours.,en,phishing,invoice_scam
4_ta,விலைப்பட்டியல் இணைக்கப்பட்டுள்ளது. 24 மணிநேரத்திற்குள் கட்டணத்தை உறுதிப்படுத்தவும்.,ta,phishing,invoice_scam
4_hi,चालान संलग्न. कृपया 24 घंटे के भीतर भुगतान की पुष्टि करें।,hi,phishing,invoice_scam
