id,text,label,attack_type,contains_url,contains_otp_request,contains_credential_terms
1,You have won a free iPhone! Click here to claim your prize: http://win-gift.com,phishing,lottery_scam,True,False,False
2,Please verify your bank account by entering your PIN and password on this page: http://secure-login-update.com,phishing,credential_phish,True,True,True
3,"Dear customer, share your OTP to verify your credit card transaction.",phishing,otp_harvest,False,True,True
4,Invoice attached. Please confirm payment within 24 hours.,phishing,invoice_scam,False,False,False
5,Team meeting scheduled for 3 PM tomorrow.,ham,legitimate,False,False,False
6,Netflix: Your monthly payment was successful. Thanks for staying with us.,ham,legitimate,False,False,False
7,You have exceeded your mailbox storage limit. Click here to re-activate your email.,phishing,credential_phish,False,False,False
8,Kindly review the attached report before Monday.,ham,legitimate,False,False,False
9,Your ATM card will be blocked soon. Reply with your PIN immediately.,phishing,otp_harvest,False,True,False
10,Congratulations! You are the lucky winner of our anniversary giveaway!,phishing,lottery_scam,False,False,False
